course_id,date,discipline,hippodrome,partants,numcourse,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,a2,a3,a4,a5,rapport,r_b1,r_b2,top3,top4,top3_1,top3_2,top4_1,top4_2,a1_imp,a2_imp,a1_inf9,a2_inf9,cplg_top3,cplg_top4,top3_1_top4,top3_2_top4,top3_3_top4,siprono1<9-A1<9,siprono2<9-A1<9,siprono3<9-A1<9,siprono1<9-A2<9,siprono2<9-A2<9,siprono3<9-A2<9,Siprono1>8-A1>8,siprono2>8-A1>8,siprono3>8-A1>8,siprono1>8-A2>8,siprono2>8-A2>8,siprono3>8-A2>8
11/11/22_Toulouse_C3,11/11/22,galop,Toulouse,16,C3,2400,13,3,14,5,7,2,4,9,13,7,12,9,2,3.8,1,1,"[13,3,14]","[5,7,2,4]",1,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0
12/11/22_Vincennes_C3,12/11/22,trot,Vincennes,15,C3,2700,11,2,1,5,9,4,8,6,11,1,2,8,4,1.9,1,1,"[11,2,1]","[5,9,4,8]",1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
13/11/22_Auteuil_C5,13/11/22,galop,Auteuil,14,C5,4300,10,4,11,2,5,7,12,3,7,10,11,14,13,15.5,1,1,"[10,4,11]","[2,5,7,12]",0,1,1,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
14/11/22_Bordeaux_C4,14/11/22,trot,Bordeaux,13,C4,2650,7,2,10,3,13,12,5,4,7,2,13,10,3,1.6,1,1,"[7,2,10]","[3,13,12,5]",1,1,0,0,1,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
15/11/22_Chantilly_C5,15/11/22,galop,Chantilly,16,C5,1800,5,1,12,6,3,14,4,2,12,7,11,1,2,9.4,1,0,"[5,1,12]","[6,3,14,4]",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
16/11/22_Chantilly_C4,16/11/22,galop,Chantilly,16,C4,1600,7,6,1,10,9,5,12,4,4,7,6,10,8,29.0,1,1,"[7,6,1]","[10,9,5,12]",0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
17/11/22_SaintCloud_C3,17/11/22,galop,SaintCloud,16,C3,2000,7,11,13,15,2,5,6,10,11,9,13,6,10,7.5,1,0,"[7,11,13]","[15,2,5,6]",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
18/11/22_Vincennes_C3,18/11/22,trot,Vincennes,15,C3,2100,3,4,6,2,8,14,13,12,3,14,2,13,11,3.9,1,1,"[3,4,6]","[2,8,14,13]",1,0,0,1,1,0,1,0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
19/11/22_Auteuil_C6,19/11/22,galop,Auteuil,15,C6,3900,3,7,2,11,1,9,6,5,1,4,8,9,3,20.0,1,0,"[3,7,2]","[11,1,9,6]",0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
20/11/22_Vincennes_C4,20/11/22,trot,Vincennes,17,C4,2700,8,13,2,16,7,17,9,15,2,15,8,17,7,7.3,1,1,"[8,13,2]","[16,7,17,9]",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
